products_id,model,ean,name,description,dimension,price,delivery_code,quantity,categories,options,minimum_order_quantity,image_url
9701,LON47,5055071655654,Fun Novelty Routemaster Red Bus Mug,<p>Fun Novelty Routemaster Red Bus Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 10cm Width 13.5cm Depth 8.5cm,3.24,E,953,100175|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/LON47_001.jpg
10200,DRG272,5055071664984,Wine Bottle Holder Fantasy Dragon Collectable,<p>Wine Bottle Holder Fantasy Dragon Collectable</p><p>Our fantasy and gothic dragon range are great entry level collectors items as they are well designed and made but are still great value.</p><p>Made from resin each has been individually finished in rich fantasy colours to create an eye-catching decorative figurine.</p>,Height 15cm Width 31cm Depth 15cm,12.66,I,73,350|100058,,1,http://www.puckator-dropship.co.uk/gifts/images/DRG272_001.jpg
12832,RF120B,5055071549885,Cute Fairy Garden Tiered Display Stand,<p>Cute Fairy Garden Tiered Display Stand</p><p>Mini collectable and trinket display stands are a great displaying all your favourite items. There are loads of themes to choose from so we know you will find one just for you.</p><p>Made from resin they are strong and durable and will look great with all your treasures displayed on the different layers and levels. The resin is suitable for outdoors but if left in an exposed location the paint finish may start to weather.</p>,Height 20cm,8.29,I,33,32,,1,http://www.puckator-dropship.co.uk/gifts/images/RF120B_001.jpg
13602,MUG213,5055071710803,Novelty Tree Frog Shaped Ceramic Mug,<p>Novelty Tree Frog Shaped Ceramic Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 8cm Width 15.5cm Depth 12.5cm,3.34,E,1523,9060|100175,,1,http://www.puckator-dropship.co.uk/gifts/images/MUG213_001.jpg
12589,SMUG77,5055071700668,Novelty Skulls Stack Shaped Handle Ceramic Mug,<p>Novelty Skulls Stack Shaped Handle Ceramic Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 9cm Width 14cm Depth 8.5cm,3.08,E,1137,232|100175,,1,http://www.puckator-dropship.co.uk/gifts/images/SMUG77_001.jpg
5412,LON04,5055071622236,Fun Novelty Police Box Ceramic Money Box,<p>Fun Novelty Police Box Ceramic Money Box</p><p>Save your pennies in our range of cute and novelty money boxes.</p><p>Made from ceramics all come with a slot in the top and a rubber bung on the bottom. These are a great gift idea for all the family.</p>,Height 17cm Width 7cm Slot 3cm,3.34,F,438,52,,1,http://www.puckator-dropship.co.uk/gifts/images/LON04_001.jpg
1292,FY73,5055071517105,Cute Flower Fairy Mini Waterball Snow Globe,<p>Cute Flower Fairy Mini Waterball Snow Globe</p><p>If you like fantasy gifts and collectables then check out our fairy and unicorn range.</p><p>With the designs taking inspirations from folklore flora and fauna there is a great mix of styles and sizes of to choose from. Each piece is made from resin and hand painted making them individual and unique the perfect gift for all the family.</p>,Height 6cm,1.79,B,1972,32|100009,,1,http://www.puckator-dropship.co.uk/gifts/images/FY73_001.jpg
13437,FF66,5055071709654,Novelty Policeman Solar Pal,<p>Novelty Policeman Solar Pal</p><p>Our range of solar pals a perfect gift for all the family. Made from plastic they have a built in solar panel that does not need batteries they just need a sunny window sill to get them dancing and waving.</p><p>With the range of designs available there is something for everyone. They are not a toy but are CE marked due to small parts.</p>,Height 10.5cm Width 5cm Depth 5.5cm,1.90,A,5853,100530|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/FF66_001.jpg
13451,SMUG85,5055071707698,Novelty Ceramic Shaped Handle Police Box Mug,<p>Novelty Ceramic Shaped Handle Police Box Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 10.5cm Width 13cm Depth 8cm,3.19,E,1436,100175|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/SMUG85_001.jpg
10025,LON49,5055071661334,Novelty Ceramic Police Box Square Mug with Lid,<p>Novelty Ceramic Police Box Square Mug with Lid</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 15cm Width 12.5cm Depth 8cm,3.58,F,3840,100175|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/LON49_001.jpg
13301,PUR26,5055071709111,Fun Tic Tac Guardsman Purse,<p>Fun Tic Tac Guardsman Purse</p><p>If you like your gifts funky and practical then look no further than our range of purses.</p><p>Made from a durable fabric with a metal tic tac top these are ideal for kids and adults of all ages.</p>,Height 8cm Width 8.5cm Depth 2cm,1.18,Z,1582,100266|100561,,1,http://www.puckator-dropship.co.uk/gifts/images/PUR26_001.jpg
10013,DRG266,5055071664724,Dragon Claw Celtic Knotwork Decorative Fantasy Walking Stick,<p>Dragon Claw Celtic Knotwork Decorative Fantasy Walking Stick</p><p>Our fantasy and gothic dragon range are great entry level collectors items as they are well designed and made but are still great value.</p><p>Made from resin each has been individually finished in rich fantasy colours to create an eye-catching decorative figurine.</p>,Total Length 98cm Claw Height 15cm Width 7cm,11.65,J,124,100058|100585,,1,http://www.puckator-dropship.co.uk/gifts/images/DRG266_001.jpg
13472,DRG385,5055071710391,LED Crystal Castle Collectable Dragon Figurine,<p>LED Crystal Castle Collectable Dragon Figurine</p><p>Our fantasy and gothic dragon range are great entry level collectors items as they are well designed and made but are still great value.</p><p>Made from resin each has been individually finished in rich fantasy colours to create an eye-catching decorative figurine.</p><p>The LED requires 2 AA batteries which are not included with the figurine.</p>,Height 19cm Width 14cm Depth 11.5cm,9.02,G,299,100058,,1,http://www.puckator-dropship.co.uk/gifts/images/DRG385_001.jpg
13774,SMUG107,5055071712654,Fun Lipstick Shaped Handle Ceramic Mug,<p>Fun Lipstick Shaped Handle Ceramic Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 11cm Width 12.5cm Depth 8.5cm,3.08,D,1802,100175,,1,http://www.puckator-dropship.co.uk/gifts/images/SMUG107_001.jpg
13452,SMUG87,5055071707711,Novelty Ceramic Shaped Handle Telephone Box Mug,<p>Novelty Ceramic Shaped Handle Telephone Box Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 10.5cm Width 13cm Depth 8cm,3.19,E,1645,100175|100575,,1,http://www.puckator-dropship.co.uk/gifts/images/SMUG87_001.jpg
10204,DRG276,5055071665288,Dragon Incense Burner Fantasy Collectable,<p>Dragon Incense Burner Fantasy Collectable</p><p>Our fantasy and gothic dragon range are great entry level collectors items as they are well designed and made but are still great value.</p><p>Made from resin each has been individually finished in rich fantasy colours to create an eye-catching decorative figurine.</p>,Height 15.5cm Width 10.5cm Depth 8.5cm,4.59,D,190,9096|100058,,1,http://www.puckator-dropship.co.uk/gifts/images/DRG276_001.jpg
3008,DIG17,5055071596247,Fun Excavation Dig it Out Kit - Glow in the Dark Dinosaur,<p>Fun Excavation Dig it Out Kit - Glow in the Dark Dinosaur</p><p>Dig it out kits are a great way for kids to learn while having fun and making a mess. Each kit comes with everything you need to find the treasure inside. .</p><p>The block is made from gypsum and plaster so is safe for kids to dig in and the brush and tool are made from wood.</p><p>There are assorted designs available but there is only 1 artefact per set. The kit is also only recommended for children over the age of 8 due to the small parts and we recommend that children are supervised while digging the items out. Have fun!!.</p>,Block Height 6.5cm,1.18,A,364,9058|100272|100585,,1,http://www.puckator-dropship.co.uk/gifts/images/DIG17_001.jpg
3227,DIG04,5055071561542,Fun Excavation Dig it Out Kit - Small Dino Skeleton,<p>Fun Excavation Dig it Out Kit - Small Dino Skeleton</p><p>Dig it out kits are a great way for kids to learn while having fun and making a mess. Each kit comes with everything you need to find the treasure inside. .</p><p>The block is made from gypsum and plaster so is safe for kids to dig in and the brush and tool are made from wood.</p><p>There are assorted designs available but there is only 1 artefact per set. The kit is also only recommended for children over the age of 8 due to the small parts and we recommend that children are supervised while digging the items out. Have fun!!.</p>,Block Length 7.5cm,1.06,B,4038,232|9058|100272,,1,http://www.puckator-dropship.co.uk/gifts/images/DIG04_001.jpg
10243,PEN53,5055071665295,Fun Novelty Syringe Pen,<p>Fun Novelty Syringe Pen</p><p>Need a funky pen that looks great and fits into your pocket or handbag then look no further. These great gift items are colourful and come in a variety of unusual designs.</p><p>These durable little pens are made from plastic and have a blue biro inside. They are perfect when you are on the go at home or in the office.</p>,Length 12.5cm,0.39,Z,3905,9118|9180,,1,http://www.puckator-dropship.co.uk/gifts/images/PEN53_001.jpg
4028,MB98,5055071607400,Fun Novelty Ceramic Red Routemaster Bus Money Box,<p>Fun Novelty Ceramic Red Routemaster Bus Money Box</p><p>Save your pennies in our range of cute and novelty money boxes.</p><p>Made from ceramics all come with a slot in the top and a rubber bung on the bottom. These are a great gift idea for all the family.</p>,Height 11cm  Width 9cm  Depth 6cm  Slot 3.5cm,3.34,D,741,52|100270,,1,http://www.puckator-dropship.co.uk/gifts/images/MB98_002.jpg
11541,SMUG42,5055071690594,Fun Underwater Design Shaped Handle Turtle Mug,<p>Fun Underwater Design Shaped Handle Turtle Mug</p><p>Our shaped handle mugs are novelty and come in a great range of themes and designs. They are all food safe but cannot be used in the dishwasher or microwave.</p><p>Made from ceramics they will definitely be a talking point at the dinner table or in the office canteen.</p>,Height 13.5cm  Width 12cm Diameter 8.5cm,3.34,F,396,9059|100175,,1,http://www.puckator-dropship.co.uk/gifts/images/SMUG42_001.jpg
